align-content	flex-start | flex-end | center | space-between | space-around | stretch
align-items	flex-start | flex-end | center | baseline | stretch
align-self	auto | flex-start | flex-end | center | baseline | stretch
all	initial | inherit | unset
animation	<single-animation-name> || <time> || <timing-function> || <time> || <single-animation-iteration-count> || <single-animation-direction> || <single-animation-fill-mode> || <single-animation-play-state>
animation-delay	<time>#
animation-direction	 <single-animation-direction>#
animation-duration	<time>#
animation-fill-mode	<single-animation-fill-mode>#
animation-iteration-count	<single-animation-iteration-count>#
animation-name	<single-animation-name>#
animation-play-state	<single-animation-play-state>#
animation-timing-function	 <timing-function>#
backface-visibility	 visible | hidden 
background	[ <bg-layer> , ]* <final-bg-layer>
background-attachment	  <attachment>#
background-blend-mode	 <blend-mode>#
background-clip	<box>#
background-color	<color>
background-image	<bg-image>#
background-origin	<box>#
background-position	 <position>#
background-repeat	<repeat-style>#
background-size	<bg-size>#
block-size	<'width'>
border	 <br-width> || <br-style> || <color>
border-block-end	<'border-width'> || <'border-style'> || <'color'>
border-block-end-color	<'color'>
border-block-end-style	<'border-style'>
border-block-end-width	<'border-width'>
border-block-start	<'border-width'> || <'border-style'> || <'color'>
border-block-start-color	<'color'>
border-block-start-style	<'border-style'>
border-block-start-width	<'border-width'>
border-bottom	<br-width> || <br-style> || <color>
border-bottom-color	<color>
border-bottom-left-radius	[ <length> | <percentage> ]{1,2} 
border-bottom-right-radius	[ <length> | <percentage> ]{1,2} 
border-bottom-style	<br-style>
border-bottom-width	<br-width>
border-collapse	collapse | separate
border-color	<color>{1,4}
border-image	<'border-image-source'> || <'border-image-slice'> [ / <'border-image-width'> | / <'border-image-width'>? / <'border-image-outset'> ]? || <'border-image-repeat'>
border-image-outset	[ <length> | <number> ]{1,4}
border-image-repeat	[ stretch | repeat | round ]{1,2}  
border-image-slice	[<number> | <percentage>]{1,4} && fill?  
border-image-source	none | <image> 
border-image-width	[ <length> | <percentage> | <number> | auto ]{1,4} 
border-inline-end	<'border-width'> || <'border-style'> || <'color'>
border-inline-end-color	<'color'>
border-inline-end-style	<'border-style'>
border-inline-end-width	<'border-width'>
border-inline-start	<'border-width'> || <'border-style'> || <'color'>
border-inline-start-color	<'color'>
border-inline-start-style	<'border-style'>
border-inline-start-width	<'border-width'>
border-left	<br-width> || <br-style> || <color>
border-left-color	<color>
border-left-style	<br-style>
border-left-width	<br-width>
border-radius	[ <length> | <percentage> ]{1,4} [ / [ <length> | <percentage> ]{1,4} ]?
border-right	<br-width> || <br-style> || <color>
border-right-color	<color>
border-right-style	<br-style>
border-right-width	<br-width>
border-spacing	<length> <length>?
border-style	<br-style>{1,4}
border-top	<br-width> || <br-style> || <color>
border-top-color	<color>
border-top-left-radius	[ <length> | <percentage> ]{1,2}  
border-top-right-radius	[ <length> | <percentage> ]{1,2}  
border-top-style	<br-style>
border-top-width	<br-width>
border-width	<br-width>{1,4}
bottom	<length> | <percentage> | auto
box-decoration-break	 slice | clone
box-shadow	none | [inset? && [ <offset-x> <offset-y> <blur-radius>? <spread-radius>? <color>? ] ]#
box-sizing	content-box | padding-box | border-box
break-after	auto | always | avoid | left | right | page | column | avoid-page | avoid-colum
break-before	auto | always | avoid | left | right | page | column | avoid-page | avoid-colum
break-inside	auto | avoid | avoid-page | avoid-column
caption-side	top | bottom | block-start | block-end | inline-start | inline-end
clear	none | left | right | both
clip	<shape> | auto
color	<color>
column-count	<number> | auto
column-fill	auto | balance
column-gap	<length> | normal
column-rule	<'column-rule-width'> || <'column-rule-style'> || <'column-rule-color'>
column-rule-color	<color>
column-rule-style	<br-style>
column-rule-width	<br-width>
columns	<'column-width'> || <'column-count'>
column-span	none | all
column-width	<length> | auto
content	normal | none | [ <string> | <uri> | <counter> | attr() | open-quote | close-quote | no-open-quote | no-close-quote ]+
counter-increment	[<custom-ident> <integer>?]+ | none
counter-reset	[<custom-ident> <integer>?]+ | none
cursor	[ [ <uri> [<x> <y>]?,]* [ auto | default | none | context-menu | help | pointer | progress | wait | cell | crosshair | text | vertical-text | alias | copy | move | no-drop | not-allowed | e-resize | n-resize | ne-resize | nw-resize | s-resize | se-resize | sw-resize | w-resize | ew-resize | ns-resize | nesw-resize | nwse-resize | col-resize | row-resize | all-scroll | zoom-in | zoom-out | grab | grabbing ] ]
direction	ltr | rtl
display	none | inline | block | list-item | inline-block | inline-table | table | table-cell | table-column | table-column-group | table-footer-group | table-header-group | table-row | table-row-group | flex | inline-flex | grid | inline-grid | run-in | ruby | ruby-base | ruby-text | ruby-base-container | ruby-text-container | contents
empty-cells	show | hide
flex	none | [ <'flex-grow'> <'flex-shrink'>? || <'flex-basis'> ]
flex-basis	content | <'width'>
flex-direction	row | row-reverse | column | column-reverse
flex-flow	<'flex-direction'> || <'flex-wrap'>
flex-grow	<number>
flex-shrink	<number>
flex-wrap	nowrap | wrap | wrap-reverse
float	left | right | none
font	[ [ <‘font-style’> || <font-variant-css21> || <‘font-weight’> || <‘font-stretch’> ]? <‘font-size’> [ / <‘line-height’> ]? <‘font-family’> ] | caption | icon | menu | message-box | small-caption | status-bar
font-family	[ <family-name> | <generic-family> ]# 
font-feature-settings	normal | <feature-tag-value>#
font-kerning	auto | normal | none
font-language-override	normal | <string>
font-size	<absolute-size> | <relative-size> | <length> | <percentage>
font-size-adjust	none | <number>
font-stretch	normal | ultra-condensed | extra-condensed | condensed | semi-condensed | semi-expanded | expanded | extra-expanded | ultra-expanded
font-style	normal | italic | oblique
font-synthesis	none | [ weight || style ]
